0.0,0.0
0.01,7e-05
0.02001,0.00027
0.03001,0.0006
0.04,0.00107
0.04999,0.00167
0.05997,0.0024
0.06993,0.00327
0.07989,0.00427
0.08983,0.0054
0.09975,0.00666
0.10966,0.00806
0.11955,0.00959
0.12941,0.01125
0.13926,0.01304
0.14908,0.01497
0.15887,0.01702
0.16863,0.0192
0.17837,0.02152
0.18807,0.02396
0.19774,0.02654
0.20737,0.02924
0.21697,0.03207
0.22652,0.03503
0.23604,0.03811
0.24552,0.04132
0.25495,0.04466
0.26433,0.04813
0.27367,0.05171
0.28296,0.05543
0.2922,0.05926
0.30139,0.06322
0.31053,0.0673
0.31961,0.07151
0.32863,0.07583
0.33759,0.08028
0.3465,0.08484
0.35534,0.08952
0.36412,0.09432
0.37283,0.09923
0.38148,0.10427
0.39006,0.10941
0.39857,0.11467
0.40701,0.12005
0.41538,0.12553
0.42367,0.13113
0.43189,0.13683
0.44003,0.14265
0.44809,0.14857
0.45607,0.1546
0.46398,0.16074
0.4718,0.16698
0.47953,0.17333
0.48718,0.17978
0.49474,0.18633
0.50222,0.19298
0.50961,0.19973
0.5169,0.20657
0.5241,0.21352
0.53121,0.22055
0.53823,0.22769
0.54515,0.23491
0.55197,0.24223
0.5587,0.24964
0.56532,0.25714
0.57184,0.26472
0.57827,0.27239
0.58459,0.28015
0.5908,0.28799
0.59691,0.29591
0.60292,0.30392
0.60881,0.312
0.6146,0.32016
0.62028,0.3284
0.62585,0.33671
0.63131,0.34509
0.63665,0.35355
0.64189,0.36208
0.647,0.37068
0.65201,0.37934
0.65689,0.38807
0.66166,0.39687
0.66631,0.40572
0.67085,0.41464
0.67526,0.42362
0.67955,0.43266
0.68373,0.44175
0.68778,0.4509
0.69171,0.4601
0.69551,0.46935
0.69919,0.47866
0.70275,0.48801
0.70618,0.49741
0.70949,0.50685
0.71267,0.51634
0.71573,0.52586
0.71865,0.53543
0.72145,0.54504
0.72412,0.55468
0.72666,0.56435
0.72907,0.57406
0.73135,0.58381
0.73351,0.59358
0.73553,0.60338
0.73742,0.6132
0.73918,0.62305
0.74081,0.63292
0.7423,0.64281
0.74367,0.65273
0.7449,0.66265
0.746,0.6726
0.74696,0.68256
0.74779,0.69253
0.74849,0.70251
0.74906,0.7125
0.7495,0.72249
0.7498,0.73249
0.74996,0.7425
0.75,0.7525
0.7499,0.76251
0.74966,0.77251
0.7493,0.78251
0.74879,0.7925
0.74816,0.80248
0.74739,0.81246
0.7465,0.82242
0.74546,0.83238
0.7443,0.84231
0.743,0.85223
0.74157,0.86214
0.74001,0.87202
0.73831,0.88188
0.73649,0.89172
0.73453,0.90153
0.73245,0.91131
0.73023,0.92107
0.72788,0.93079
0.72541,0.94049
0.7228,0.95015
0.72007,0.95977
0.7172,0.96936
0.71421,0.97891
0.7111,0.98841
0.70785,0.99788
0.70448,1.0073
0.70099,1.01667
0.69737,1.026
0.69363,1.03528
0.68976,1.04451
0.68577,1.05368
0.68166,1.0628
0.67742,1.07187
0.67307,1.08088
0.6686,1.08982
0.664,1.09871
0.65929,1.10754
0.65446,1.1163
0.64952,1.125
0.64446,1.13363
0.63928,1.14219
0.634,1.15069
0.62859,1.15911
0.62308,1.16746
0.61746,1.17573
0.61172,1.18393
0.60588,1.19205
0.59993,1.2001
0.59387,1.20806
0.58771,1.21594
0.58144,1.22374
0.57507,1.23145
0.5686,1.23908
0.56202,1.24662
0.55535,1.25407
0.54857,1.26144
0.5417,1.26871
0.53473,1.27589
0.52767,1.28298
0.52051,1.28997
0.51326,1.29686
0.50592,1.30366
0.49849,1.31036
0.49097,1.31696
0.48337,1.32346
0.47567,1.32986
0.4679,1.33615
0.46004,1.34234
0.45209,1.34842
0.44407,1.3544
0.43597,1.36027
0.42779,1.36603
0.41953,1.37168
0.4112,1.37723
0.4028,1.38266
0.39432,1.38797
0.38578,1.39318
0.37716,1.39826
0.36848,1.40324
0.35974,1.4081
0.35093,1.41284
0.34205,1.41746
0.33312,1.42196
0.32412,1.42635
0.31507,1.43061
0.30597,1.43475
0.2968,1.43877
0.28759,1.44267
0.27832,1.44644
0.26901,1.4501
0.25965,1.45362
0.25024,1.45702
0.24078,1.4603
0.23129,1.46345
0.22175,1.46647
0.21217,1.46936
0.20256,1.47213
0.19291,1.47477
0.18322,1.47728
0.1735,1.47966
0.16375,1.4819
0.15398,1.48402
0.14417,1.48601
0.13434,1.48787
0.12448,1.4896
0.11461,1.49119
0.10471,1.49265
0.09479,1.49399
0.08486,1.49518
0.07491,1.49625
0.06495,1.49718
0.05498,1.49798
0.045,1.49865
0.03501,1.49918
0.02501,1.49958
0.01501,1.49985
0.005,1.49998
-0.005,1.49998
-0.01501,1.49985
-0.02501,1.49958
-0.03501,1.49918
-0.045,1.49865
-0.05498,1.49798
-0.06495,1.49718
-0.07491,1.49625
-0.08486,1.49518
-0.09479,1.49399
-0.10471,1.49265
-0.11461,1.49119
-0.12448,1.4896
-0.13434,1.48787
-0.14417,1.48601
-0.15398,1.48402
-0.16375,1.4819
-0.1735,1.47966
-0.18322,1.47728
-0.19291,1.47477
