X,Y
12.5896,2.63829e-05
12.6396,2.28604e-05
12.6896,1.97539e-05
12.7396,1.68912e-05
12.7871,1.45358e-05
12.8411,1.16554e-05
12.8904,9.1906e-06
12.9405,7.23522e-06
12.9903,5.37944e-06
13.0403,4.0951e-06
13.0902,3.16714e-06
13.1406,2.53278e-06
13.1899,2.11332e-06
13.2402,1.86268e-06
13.29,1.75438e-06
13.34,1.8677e-06
13.3899,2.14478e-06
13.4399,2.4456e-06
13.4908,2.88269e-06
13.5402,3.72262e-06
13.5904,-2.7407e-05
13.6401,-3.74932e-05
13.6891,-2.66605e-05
13.7404,-2.82245e-05
13.7889,-1.29854e-05
13.8395,1.40572e-05
13.8908,3.28483e-05
13.9385,4.77969e-05
13.9897,3.14733e-05
14.0392,7.61469e-06
14.0895,4.04812e-06
14.1394,5.53044e-06
14.1894,7.85615e-06
14.2394,1.02942e-05
14.2894,1.21884e-05
14.3394,1.38341e-05
14.3894,1.50658e-05
14.4394,1.48212e-05
14.4893,1.63917e-05
14.5393,1.69678e-05
14.5893,1.71101e-05
14.6398,1.4239e-05
14.6895,1.45112e-05
14.7396,1.57314e-05
14.7895,1.65383e-05
14.84,1.35245e-05
14.8897,1.36469e-05
14.9397,1.48142e-05
14.9887,2.26273e-05
15.0391,2.5382e-05
15.089,2.40586e-05
15.1391,2.50691e-05
15.1891,2.50717e-05
15.2392,2.50441e-05
15.2892,2.51847e-05
15.3392,2.49119e-05
15.3882,-3.88153e-06
15.4402,2.29208e-05
15.4895,2.76405e-05
15.5398,6.64858e-05
15.5897,7.65231e-05
15.6398,7.82279e-05
15.6907,7.90387e-05
15.7375,7.77607e-05
15.7914,9.86876e-05
15.84,6.9445e-05
15.8914,5.10175e-05
15.9405,-1.14747e-05
15.9896,-2.0115e-05
16.0398,-2.97123e-05
16.0897,-3.56637e-05
16.1397,-3.98179e-05
16.1896,-4.20985e-05
16.2396,-4.25836e-05
16.2895,-4.19074e-05
16.3395,-3.98451e-05
16.3905,-4.36328e-05
16.44,-4.00063e-05
16.4901,-3.82814e-05
16.5389,-2.70411e-05
16.5894,-2.38179e-05
16.6392,-2.26244e-05
16.6893,-1.79721e-05
16.7392,-1.36033e-05
16.7893,-1.0219e-05
16.8393,-7.43749e-06
16.8893,-3.46162e-06
16.9393,1.37474e-06
16.9893,5.52535e-06
17.0393,9.24059e-06
17.0893,1.24318e-05
17.1393,1.58245e-05
17.1893,1.94455e-05
17.2403,1.50187e-05
17.2847,1.93114e-05
17.3397,1.99447e-05
17.3884,6.69085e-05
17.4392,7.93713e-05
17.4891,8.34612e-05
17.5392,8.57597e-05
17.5893,8.55896e-05
17.6394,8.37088e-05
17.6894,8.0398e-05
17.7394,7.60322e-05
17.7895,7.08354e-05
17.8395,6.49706e-05
17.8895,5.839e-05
17.9395,5.1724e-05
17.9895,4.49535e-05
18.0395,3.83659e-05
18.0895,3.21603e-05
18.14,2.63797e-05
18.1892,2.11745e-05
18.236,1.65786e-05
18.2905,1.14772e-05
18.3404,5.08961e-06
18.3903,-2.93511e-07
18.4403,-4.86372e-06
18.4901,-8.40555e-06
18.5411,-1.10396e-05
18.5906,-1.23597e-05
18.6396,-1.33514e-05
18.6898,-1.3907e-05
18.7397,-1.37921e-05
18.7897,-1.30899e-05
18.8397,-1.19622e-05
18.8897,-1.05353e-05
18.9397,-8.9466e-06
18.9897,-7.08396e-06
19.0397,-5.15515e-06
19.0897,-3.09205e-06
19.1397,-1.07279e-06
19.1897,8.7325e-07
19.2397,2.65953e-06
19.2897,4.29894e-06
19.3396,5.83402e-06
19.3896,7.22023e-06
19.4406,8.4708e-06
19.4891,9.92574e-06
19.5397,4.16488e-05
19.5895,4.88177e-05
19.6395,4.5339e-05
19.6844,4.19417e-05
19.7364,3.34013e-05
19.7914,-1.39593e-05
19.8358,3.41517e-05
19.8707,8.09819e-05
19.898,2.80721e-05
19.9209,5.49827e-05
19.9365,2.5258e-05
19.9469,6.50991e-05
19.9561,7.9568e-05
19.9648,9.84783e-05
19.971,9.30417e-05
19.9752,8.9362e-05
19.9776,0.000115721
19.9773,0.000127817
19.9769,0.000126106
19.9766,0.000127914
19.9762,0.00013308
19.9759,0.000145515
19.9755,0.000133268
19.9751,0.000135061
19.9748,0.000136855
19.9744,0.00013865
19.974,0.000140442
19.9737,0.000142235
19.9733,0.000144028
19.973,0.000152902
19.9726,0.000154693
19.9722,0.000156483
19.9719,0.000151196
19.9715,0.000152986
19.9712,0.000154778
19.9708,0.00015657
19.9704,0.000158369
19.9701,0.000160152
19.9697,0.000161944
19.9694,0.000163736
19.969,0.000165527
19.9686,0.000174377
19.9683,0.000169102
19.9679,0.000170892
19.9676,0.000179741
19.9672,0.000181531
