0.0,0.0
0.05,0.001
0.1,0.005
0.149,0.011
0.198,0.02
0.247,0.031
0.295,0.044
0.342,0.06
0.388,0.079
0.434,0.099
0.478,0.122
0.521,0.147
0.563,0.174
0.604,0.203
0.643,0.234
0.68,0.267
0.716,0.302
0.75,0.338
0.782,0.377
0.812,0.416
0.84,0.457
0.866,0.5
0.89,0.544
0.912,0.589
0.931,0.635
0.948,0.682
0.963,0.729
0.975,0.777
0.985,0.826
0.992,0.876
0.997,0.925
1.0,0.975
1.0,1.025
0.997,1.075
0.992,1.124
0.985,1.174
0.975,1.223
0.963,1.271
0.948,1.318
0.931,1.365
0.912,1.411
0.89,1.456
0.866,1.5
0.84,1.543
0.812,1.584
0.782,1.623
0.75,1.662
0.716,1.698
0.68,1.733
0.643,1.766
0.604,1.797
0.563,1.826
0.521,1.853
0.478,1.878
0.434,1.901
0.388,1.921
0.342,1.94
0.295,1.956
0.247,1.969
0.198,1.98
0.149,1.989
0.1,1.995
0.05,1.999
0.0,2.0
-0.05,1.999
-0.1,1.995
-0.149,1.989
-0.198,1.98
-0.247,1.969
-0.295,1.956
-0.342,1.94
-0.388,1.921
-0.434,1.901
-0.478,1.878
-0.521,1.853
-0.563,1.826
-0.604,1.797
-0.643,1.766
-0.68,1.733
-0.716,1.698
-0.75,1.662
-0.782,1.623
-0.812,1.584
-0.84,1.543
-0.866,1.5
-0.89,1.456
-0.912,1.411
-0.931,1.365
-0.948,1.318
-0.963,1.271
-0.975,1.223
-0.985,1.174
-0.992,1.124
-0.997,1.075
-1.0,1.025
-1.0,0.975
-0.997,0.925
-0.992,0.876
-0.985,0.826
-0.975,0.777
-0.963,0.729
-0.948,0.682
-0.931,0.635
-0.912,0.589
-0.89,0.544
-0.866,0.5
-0.84,0.457
-0.812,0.416
-0.782,0.377
-0.75,0.338
-0.716,0.302
-0.68,0.267
-0.643,0.234
-0.604,0.203
-0.563,0.174
-0.521,0.147
-0.478,0.122
-0.434,0.099
-0.388,0.079
-0.342,0.06
-0.295,0.044
-0.247,0.031
-0.198,0.02
-0.149,0.011
-0.1,0.005
-0.05,0.001
0.0,0.0
